Month,Borough,Major Category,Minor Category,Count
201701,Barking and Dagenham,Burglary,Burglary In A Dwelling,118
201701,Barking and Dagenham,Burglary,Burglary In Other Buildings,25
201701,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,28
201701,Barking and Dagenham,Criminal Damage,Criminal Damage To Motor Vehicle,65
201701,Barking and Dagenham,Criminal Damage,Criminal Damage To Other Building,10
201701,Barking and Dagenham,Criminal Damage,Other Criminal Damage,29
201701,Barking and Dagenham,Drugs,Drug Trafficking,2
201701,Barking and Dagenham,Drugs,Possession Of Drugs,62
201701,Barking and Dagenham,Fraud & Forgery,Other Fraud & Forgery,2
201701,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,24
201701,Barking and Dagenham,Robbery,Business Property,1
201701,Barking and Dagenham,Robbery,Personal Property,31
201701,Barking and Dagenham,Sexual Offences,Other Sexual,32
201701,Barking and Dagenham,Sexual Offences,Rape,13
201701,Barking and Dagenham,Theft & Handling,Handling Stolen Goods,3
201701,Barking and Dagenham,Theft & Handling,Motor Vehicle Interference & Tampering,15
201701,Barking and Dagenham,Theft & Handling,Other Theft,172
201701,Barking and Dagenham,Theft & Handling,Theft From Motor Vehicle,95
201701,Barking and Dagenham,Theft & Handling,Theft From Shops,70
201701,Barking and Dagenham,Theft & Handling,Theft Person,30
201701,Barking and Dagenham,Theft & Handling,Theft/Taking Of Motor Vehicle,99
201701,Barking and Dagenham,Theft & Handling,Theft/Taking Of Pedal Cycle,12
201701,Barking and Dagenham,Violence Against The Person,Assault With Injury,103
201701,Barking and Dagenham,Violence Against The Person,Common Assault,133
201701,Barking and Dagenham,Violence Against The Person,Harassment,122
201701,Barking and Dagenham,Violence Against The Person,Offensive Weapon,8
201701,Barking and Dagenham,Violence Against The Person,Other Violence,21
201701,Barking and Dagenham,Violence Against The Person,Wounding/GBH,49
201701,Barnet,Burglary,Burglary In A Dwelling,206
201701,Barnet,Burglary,Burglary In Other Buildings,89
